"main.id","hpq_cbep_mem.id","cbep_mem_refno"
"203416","0","11"
"203577","0","4"
"203577","1","5"
"203577","2","6"
"203577","3","7"
"232410","0","1"
"232412","0","1"
"232412","1","2"
"232412","2","4"
"232412","3","5"
"232412","4","6"
"232412","5","7"
"232412","6","8"
"232412","7","9"
"232421","0","1"
"232421","1","2"
"232432","0","2"
"232441","0","1"
"232441","1","2"
"232441","2","3"
"232572","0","1"
"232572","1","2"
"232572","2","3"
"232572","3","4"
"232575","0","1"
"232575","1","2"
"232575","2","3"
"247207","0","2"
"247238","0","2"
"252147","0","1"
"252155","0","1"
"272831","0","1"
"272834","0","2"
"272837","0","1"
"272841","0","1"
"272845","0","1"
"272845","1","2"
"272872","0","1"
"272874","0","2"
"272876","0","2"
"272880","0","1"
"272886","0","2"
"293420","0","2"
"293425","0","3"
"293440","0","1"
"293441","0","1"
"293443","0","1"
"293446","0","5"
"314593","0","4"
"315425","0","1"
"315425","1","2"
"231037","0","1"
"231941","0","1"
"243631","0","1"
"246916","0","1"
"138873","0","4"
"145819","0","1"
"151818","0","1"
"152832","0","3"
"153712","0","2"
"153716","0","3"
"178779","0","1"
"178779","1","2"
"178779","2","3"
"178779","3","4"
"178983","0","1"
"178987","0","1"
"542401","0","2"
"542878","0","1412905845729"
"542990","0","2"
"542993","0","3"
"562908","0","2"
"232848","0","3"
"243760","0","2"
"536509","0","1"
"272156","0","3"
"1599705","0","1"
"1599745","0","1"
"1599764","0","1"
"1646049","0","1"
"2105356","0","3"
"2589869","0","3"
"2590165","0","3"
